Lokasi,Jam Login,Nama,Email,No Telp,Tahun Lahir,Merk HP,Digital Interest,Tipe Lokasi,Duration,Usia
Jakarta,22:00,Atin,atin789@gmail.com,8097394019,2002,iPhone,Sport,Office,45,22
Surabaya,23:00,Zeny,zenybaed@gmail.com,8088037768,2002,Samsung,Fashion,Home,75,22
Cirebon,0:00,Muhtarom,muhtarom71@yahoo.com,8076846419,2002,Samsung,Sport,Home,100,22
Bandar Lampung,1:00,Alya,alya765@gmail.com,8048762908,2002,Samsung,Food,Home,67,22
Jakarta,2:00,Fahze,fahze@gmail.com,8094649206,2002,Samsung,Food,Home,54,22
Jakarta,3:00,Florene,flodigidaw@gmail.com,8083110706,2002,Samsung,Fashion,Office,35,22
Bandar Lampung,4:00,Sisil,sisil1@gmail.com,8015352524,2002,Samsung,Food,Mall,60,22
Bandar Lampung,5:00,Hilal,hilal789@yahoo.com,8039695953,2002,Samsung,Fashion,Cafe,30,22
Bandung,6:00,Nispril,anisapril@gmail.com,8067191126,2002,iPhone,Fashion,Office,80,22
Yogyakarta,7:00,Fegy,fegy111@yahoo.com,8047914300,2002,iPhone,Food,Home,120,22
Bandung,8:00,Winda,winds@gmail.com,8010715146,2002,iPhone,Music,Office,65,22
Manokwari,9:00,Flazer,aytflazer432@gmail.com,8037912668,1997,iPhone,Politic,Office,55,27
Jakarta,10:00,Hendry,henderyyy@gmail.com,8095364140,1997,iPhone,Politic,Office,35,27
Surabaya,11:00,Yuno,yuno97@yahoo.com,8040961625,1997,iPhone,Sport,Office,40,27
Surabaya,12:00,Zeno,zennn78o0@yahoo.com,8050413695,1997,iPhone,Sport,Office,70,27
Surabaya,20:00,Nana,nanaay@yahoo.com,8036270422,1997,Xiaomi,Food,Cafe,35,27
Bandung,21:00,Nancy,nancypelos7y@gmail.com,8065973065,1997,Xiaomi,Fashion,Cafe,40,27
Bandar Lampung,22:00,Hazel,hazelguard@gmail.com,8051369321,1983,Xiaomi,Politic,Cafe,100,41
Jambi,23:00,Jay,jay789@gmail.com,8041353345,1983,Xiaomi,Education,Cafe,65,41
Jakarta,0:00,Hans,hans783@gmail.com,8094175795,1983,Xiaomi,Sport,Cafe,45,41
Jakarta,20:00,Yulian,yuliangs@gmail.com,8026527559,1983,Xiaomi,Fashion,Cafe,60,41
